SA2_code,y.liver.male,sd.liver.male,y.liver.female,sd.liver.female,y.liver.persons,sd.liver.persons
21076,-0.31471074483970024,0.1950864251599567,-0.11653381625595151,0.20495548902531324,-0.2744368457017603,0.17453851743651794
21077,-0.2484613592984996,0.16128571825118085,-0.08338160893905101,0.16849065656662082,-0.19845093872383832,0.14521869130861773
21078,-0.3856624808119846,0.22165951274562076,0.03922071315328133,0.2292649498292804,-0.2231435513142097,0.1982948927509097
21079,-0.2484613592984996,0.20686995311641035,-0.06187540371808753,0.21405604489280786,-0.1743533871447778,0.1690597632420625
21081,0.0769610411361284,0.2549246546774824,-0.06187540371808753,0.29928772074136206,0.06765864847381486,0.20207926926445172
21082,-0.15082288973458366,0.16997165639211134,-0.12783337150988489,0.18313525126187324,-0.13926206733350766,0.1598037624780335
21084,-0.15082288973458366,0.23006504193108257,-0.13926206733350766,0.26761452455313905,-0.13926206733350766,0.20491139377601975
21085,-0.020202707317519466,0.2137647077933098,-0.10536051565782628,0.23624232649471538,0,0.18248696136317138
21086,-0.12783337150988489,0.24770806927637795,-0.08338160893905101,0.2791406250873425,-0.09431067947124129,0.21978720208798683
21087,-0.12783337150988489,0.21454233952689028,-0.1743533871447778,0.24583575861874415,-0.16251892949777494,0.19676657184284935
21088,-0.23572233352106983,0.5131788547026243,-0.11653381625595151,0.5082451855910791,-0.19845093872383832,0.46749527136436486
21089,-0.35667494393873245,0.21170604697076953,-0.12783337150988489,0.225838832321387,-0.31471074483970024,0.190295741307998
21090,-0.37106368139083207,0.19942158606480193,-0.11653381625595151,0.21633597755301645,-0.31471074483970024,0.17564772810267587
21091,-0.18632957819149348,0.301936064438601,-0.16251892949777494,0.3771083131641677,-0.18632957819149348,0.26673561980240124
21092,-0.13926206733350766,0.5113020522859936,-0.1743533871447778,0.5026957160005646,-0.16251892949777494,0.4686943414383207
21093,-0.2484613592984996,0.1845867574517872,-0.10536051565782628,0.2106353139825444,-0.19845093872383832,0.1590712367504294
21094,-0.2876820724517809,0.18604240489179047,-0.01005033585350145,0.20169017175721754,-0.1743533871447778,0.16468030217502602
21095,-0.3856624808119846,0.1967665718428493,0.17395330712343798,0.2139660908950492,-0.12783337150988489,0.17084058208888317
